a/a	LAT	LON	Soil_cond	k	crustal amplification file	input_file
1	40.63738	22.94587	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
2	40.65412	22.92151	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
3	40.58119	22.94848	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
4	40.62849	22.95921	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
5	40.62507	22.94949	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
6	40.63182	22.96275	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
7	40.63979	22.93426	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
8	40.59492	22.95573	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
9	40.63297	22.95291	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
10	40.637	22.967	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
11	40.614	22.953	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
12	40.634	22.9401	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
13	40.6292	22.9507	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
14	40.6314	22.9668	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
15	40.58166	22.9415	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
16	40.58616	22.9415	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
17	40.58339	22.946	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
18	40.58062	22.9505	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
19	40.58789	22.946	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
20	40.58512	22.9505	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
21	40.58235	22.955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
22	40.58962	22.9505	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
23	40.58685	22.955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
24	40.58408	22.9595	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
25	40.58131	22.964	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
26	40.59412	22.9505	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
27	40.59135	22.955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
28	40.58858	22.9595	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
29	40.58581	22.964	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
30	40.58305	22.9685	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
31	40.58028	22.973	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
32	40.59862	22.9505	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
33	40.59585	22.955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
34	40.59308	22.9595	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
35	40.59031	22.964	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
36	40.58755	22.9685	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
37	40.58478	22.973	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
38	40.58201	22.9775	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
39	40.60312	22.9505	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
40	40.60035	22.955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
41	40.59758	22.9595	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
42	40.59481	22.964	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
43	40.59205	22.9685	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
44	40.58928	22.973	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
45	40.58651	22.9775	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
46	40.58374	22.982	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
47	40.58097	22.9865	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
48	40.60762	22.9505	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
49	40.60485	22.955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
50	40.60208	22.9595	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
51	40.59931	22.964	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
52	40.59655	22.9685	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
53	40.59378	22.973	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
54	40.59101	22.9775	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
55	40.58824	22.982	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
56	40.58547	22.9865	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
57	40.5827	22.991	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
58	40.61212	22.9505	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
59	40.60935	22.955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
60	40.60658	22.9595	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
61	40.60381	22.964	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
62	40.60105	22.9685	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
63	40.59828	22.973	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
64	40.59551	22.9775	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
65	40.59274	22.982	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
66	40.58997	22.9865	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
67	40.5872	22.991	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
68	40.58443	22.9955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
69	40.58167	23	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
70	40.61662	22.9505	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
71	40.61385	22.955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
72	40.61108	22.9595	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
73	40.60831	22.964	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
74	40.60555	22.9685	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
75	40.60278	22.973	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
76	40.60001	22.9775	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
77	40.59724	22.982	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
78	40.59447	22.9865	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
79	40.5917	22.991	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
80	40.58893	22.9955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
81	40.58617	23	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
82	40.64327	22.9145	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
83	40.6405	22.919	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
84	40.63773	22.9235	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
85	40.62112	22.9505	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
86	40.61835	22.955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
87	40.61558	22.9595	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
88	40.61281	22.964	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
